KINGGEN STATS:

HUB,COUNT
default_city,8
default_single_city,0
default_town,18
default_village,169
oldwest_village,3
Medieval_Village,3
Magoli_Town,3
Rosenburg,3
Farms,4
Scorched_Earth,3
Nuked_Earth,3

POI,COUNT
abandoned_house_01,10
abandoned_house_02,10
abandoned_house_03,11
abandoned_house_04,10
abandoned_house_05,10
abandoned_house_06,10
abandoned_house_07,10
abandoned_house_08,11
apartment_adobe_red_5_flr,7
apartment_brick_6_flr,7
army_barracks_01,9
army_camp_01,9
army_camp_02,9
army_camp_03,9
bar_sm_01,10
bar_stripclub_01,9
bar_theater_01,7
barn_01,9
barn_02,10
barn_03,9
bluff01,0
bombshelter_01,10
bombshelter_lg_01,10
bombshelter_md_01,10
bridge_asphalt1,0
bridge_asphalt_broken,0
bridge_concrete1,0
bridge_wood1,0
bridge_wood2,0
bus_stop_01,0
bus_wreck_01,0
business_burnt_01,9
business_burnt_02,7
business_old_01,8
business_old_02,7
business_old_03,7
business_old_04,7
business_old_05,8
business_old_06,7
business_old_07,8
business_old_08,8
business_strip_old_01,7
business_strip_old_02,7
business_strip_old_03,7
business_strip_old_04,8
cabin_01,10
cabin_02,10
cabin_03,10
cabin_04,10
cabin_05,11
cabin_06,10
cabin_07,10
cabin_08,11
cabin_09,10
cabin_10,11
cabin_11,11
cabin_12,11
cabin_13,10
cabin_14,10
cabin_15,10
canyon_car_wreck,0
canyon_cliff_dwellings,0
canyon_gift_shop,0
canyon_gift_shop_sign,0
canyon_mine,0
carlot_01,7
carlot_02,7
cave_01,0
cave_02,0
cave_03,0
cave_04,0
cave_05,0
cemetery_01,13
cemetery_02,13
church_01,6
church_graveyard1,11
church_sm_01,11
courthouse_med_01,6
culvert_01,0
deco_coal_vein,0
deco_iron_vein,0
deco_lead_vein,0
deco_nitrate_vein,0
deco_remnant_stone_01,52
deco_remnant_stone_02,44
deco_remnant_stone_03,44
deco_remnant_stone_04,0
deco_remnant_wood_01,0
deco_remnant_wood_02,0
deco_rubble_stone_01,0
deco_rubble_stone_02,0
deco_rubble_stone_03,0
deco_rubble_stone_04,0
deco_rubble_stone_05,0
deco_shale_vein,0
departure_bridge_01,0
departure_bridge_02,0
departure_city_blk_01,0
departure_city_blk_plaza,6
departure_city_sign,0
desert_arch,0
desert_form01,0
desert_form02,0
diersville_city_blk_01,0
diersville_city_blk_02,0
diersville_city_sign_01,0
diner_01,9
diner_02,9
diner_03,9
docks_01,0
docks_02,0
docks_03,0
docks_04,0
docks_05,0
factory_lg_01,7
factory_lg_02,8
fastfood_01,7
fastfood_02,7
fastfood_03,7
fastfood_04,7
fire_station_01,6
fire_station_02,7
football_stadium,6
funeral_home_01,13
garage_01,13
garage_02,12
garage_03,11
garage_04,10
garage_05,13
garage_06,13
garage_07,13
gas_station1,7
gas_station2,7
gas_station3,7
gas_station4,8
gas_station5,7
gas_station6,6
gas_station7,6
gas_station8,7
gas_station9,7
gravestowne_city_blk_01,0
gravestowne_city_blk_half,0
gravestowne_city_blk_quarter,0
gravestowne_city_sign_01,0
gravestowne_street_crater_01,0
hospital_01,7
hotel_new_01,7
hotel_ostrich,7
hotel_roadside_01,7
hotel_roadside_02,7
house_burnt_01,10
house_burnt_02,11
house_burnt_03,10
house_burnt_04,11
house_burnt_05,11
house_burnt_06,11
house_construction_01,13
house_construction_02,13
house_modern_01,13
house_modern_02,13
house_modern_03,13
house_modern_04,13
house_modern_05,13
house_modern_06,14
house_modern_07,13
house_modern_08,13
house_modern_09,13
house_modern_10,14
house_modern_11,13
house_modern_12,13
house_modern_13,13
house_modern_14,13
house_modern_15,13
house_modern_16,13
house_modern_17,13
house_old_bungalow_01,10
house_old_bungalow_02,11
house_old_bungalow_03,13
house_old_bungalow_04,10
house_old_bungalow_05,11
house_old_bungalow_06,11
house_old_bungalow_07,10
house_old_bungalow_08,10
house_old_bungalow_09,10
house_old_bungalow_10,11
house_old_bungalow_11,11
house_old_bungalow_12,11
house_old_gambrel_01,11
house_old_gambrel_02,10
house_old_gambrel_03,10
house_old_gambrel_04,11
house_old_mansard_01,10
house_old_mansard_02,10
house_old_mansard_03,10
house_old_mansard_04,11
house_old_mansard_05,10
house_old_mansard_06,11
house_old_modular_01,10
house_old_modular_02,11
house_old_modular_03,11
house_old_modular_04,11
house_old_modular_05,10
house_old_modular_06,11
house_old_modular_07,10
house_old_modular_08,10
house_old_pyramid_01,10
house_old_pyramid_02,11
house_old_pyramid_03,10
house_old_pyramid_04,10
house_old_pyramid_05,11
house_old_ranch_01,10
house_old_ranch_02,14
house_old_ranch_03,13
house_old_ranch_04,13
house_old_ranch_05,10
house_old_ranch_06,11
house_old_ranch_07,13
house_old_ranch_08,13
house_old_ranch_09,11
house_old_ranch_10,10
house_old_spanish_01,13
house_old_tudor_01,11
house_old_tudor_02,10
house_old_tudor_03,10
house_old_tudor_04,10
house_old_tudor_05,10
house_old_tudor_06,10
house_old_victorian_01,10
house_old_victorian_02,10
house_old_victorian_03,10
house_old_victorian_04,11
house_old_victorian_05,10
house_old_victorian_06,11
house_old_victorian_07,10
house_old_victorian_08,10
house_old_victorian_09,11
house_old_victorian_10,11
house_old_victorian_11,10
house_old_victorian_12,10
house_old_victorian_13,11
hwy_overpass_sign_01,0
indian_burial_grounds_01,0
installation_red_mesa,9
junkyard_lg_01,9
junkyard_med_01,9
lodge_01,9
mp_waste_bldg_01_red,2
mp_waste_bldg_01_tan,2
mp_waste_bldg_01_white,2
mp_waste_bldg_02_red,2
mp_waste_bldg_02_tan,2
mp_waste_bldg_03_red,2
mp_waste_bldg_03_tan,2
mp_waste_bldg_03_white,2
mp_waste_bldg_04_grey,2
mp_waste_bldg_04_red,2
mp_waste_bldg_04_tan,2
mp_waste_bldg_04_white,2
mp_waste_bldg_05_grey,2
mp_waste_bldg_06_grey,2
mp_waste_bldg_governer_08,1
navezgane_waterfall_01,0
oldwest_business_01,9
oldwest_business_02,9
oldwest_business_03,9
oldwest_business_04,9
oldwest_business_05,10
oldwest_business_06,9
oldwest_business_07,9
oldwest_business_08,9
oldwest_business_09,9
oldwest_business_10,9
oldwest_business_11,9
oldwest_business_12,10
oldwest_business_13,9
oldwest_business_14,9
oldwest_church,11
oldwest_coal_factory,9
oldwest_gallows,9
oldwest_jail,9
oldwest_stables,9
oldwest_strip_01,9
oldwest_strip_02,10
oldwest_strip_03,9
oldwest_strip_04,9
oldwest_watertower,9
park_01,6
park_02,7
park_basketball,7
park_basketball_temp,0
park_plaza_01,6
park_plaza_02,7
park_skate,0
parking_garage_01,7
parking_lot_01,7
parking_lot_02,7
parking_lot_03,7
perishton_city_blk_01,0
perishton_city_blk_02,0
perishton_city_blk_03,0
perishton_city_blk_04,0
perishton_city_blk_plaza,0
perishton_city_sign_01,0
perishton_median_01,0
player_start1,0
player_start2,0
player_start3,0
player_start4,0
player_start5,0
player_start6,0
police_station1,7
post_office_med_01,7
post_office_sm_01,8
prison_01,7
ranger_station_01,0
ranger_station_02,0
ranger_station_03,0
ranger_station_04,0
ranger_station_05,0
ranger_station_06,0
ranger_station_07,0
remnant_burnt_01,10
remnant_burnt_02,10
remnant_burnt_03,10
remnant_burnt_04,9
remnant_burnt_05,9
remnant_burnt_06,9
remnant_burnt_07,10
remnant_burnt_08,9
remnant_burnt_09,10
remnant_business_01,9
remnant_business_02,9
remnant_business_03,9
remnant_business_04,9
remnant_business_05,0
remnant_house_01,11
remnant_house_02,11
remnant_house_03,10
remnant_house_04,10
remnant_house_05,10
remnant_house_06,10
remnant_house_07,10
remnant_house_08,10
remnant_house_09,10
remnant_house_10,10
remnant_house_11,10
remnant_house_12,13
remnant_house_13,13
remnant_industrial_01,19
remnant_industrial_02,19
remnant_industrial_03,37
remnant_industrial_04,8
remnant_mill_01,9
remnant_oldwest_01,9
remnant_oldwest_02,29
remnant_oldwest_03,36
remnant_oldwest_04,11
remnant_oldwest_05,11
remnant_oldwest_06,10
remnant_oldwest_07,9
remnant_oldwest_08,9
remnant_oldwest_09,9
road_railing_long_filled_01,0
roadblock_01,0
rock_form01,0
rock_form02,0
rock_form03,0
rock_form04,0
rock_form05,0
rwg_bridge_end_01,0
rwg_bridge_tile_01,0
sawmill_01,13
school_01,13
school_daycare_01,13
school_k6_01,13
settlement_01,7
sign_260_east_speed_65,42
sign_260_west_speed_65,31
sign_73_north,33
sign_73_south,30
sign_albuquerque,33
sign_ansel_adams_river,41
sign_arrowhead_apache,21
sign_camp_fish,35
sign_caution,32
sign_hazardous_waste,44
sign_info_center1,33
sign_navezgane_natl_forest,22
sign_phoenix,29
sign_road_work,33
sign_school_25,32
sign_slow,39
sign_speed_25,32
sign_speed_35,21
sign_speed_45,43
sign_speed_55,28
sign_spillway_lake,28
sign_stop,31
sign_stop_4way,44
skate_park_01,7
skyscraper_01,7
skyscraper_02,6
skyscraper_03,6
skyscraper_04,7
store_autoparts_01,6
store_bank_01,7
store_book_01,6
store_book_02,7
store_clothing_01,0
store_clothing_02,7
store_electronics_01,7
store_electronics_02,0
store_grocery_01,7
store_grocery_02,7
store_gun_01,6
store_gun_02,6
store_hardware_01,7
store_hardware_02,7
store_laundry_01,7
store_pawn_01,7
store_pharmacy_01,7
store_pharmacy_02,6
store_salon,7
street_apache,0
street_bell_courtland,0
street_coronado,0
street_courtland_apache,0
street_courtland_coronado,0
street_courtland_east_260,0
street_davis,0
street_huenink_courtland,0
street_lake_bell,0
street_light_01,379
street_light_02,400
street_maple,0
street_maple_courtland,0
street_private,0
street_tran_courtland,0
streets_essag,0
streets_tran_and_lang,0
survivor_site_01,0
survivor_site_02,0
survivor_site_03,0
survivor_site_04,0
survivor_site_05,0
survivor_site_06,0
survivor_site_07,0
survivor_site_08,0
theater_01,7
trader_bob,0
trader_hugh,1
trader_jen,0
trader_joel,1
trader_rekt,0
trailer_01,10
trailer_02,10
trailer_03,11
trailer_04,10
trailer_park_01,10
tree_burntpine_01,0
tree_burntpine_02,0
tree_burntpine_03,0
tree_cactus_01,0
tree_cactus_02,0
tree_cactus_03,0
tree_mountainpine06m,0
tree_mountainpine13m,0
tree_mountainpine16m,0
tree_mountainpine19m,0
tree_mountainpine20m,0
tree_mountainpinedry,0
utility_celltower_01,9
utility_celltower_02,0
utility_electric_co_01,9
utility_refinery_01,9
